,mean,mean_se,mean_ci_lower,mean_ci_upper
2023-10-08,210.99477370920468,37.15480478042817,138.17269448694884,283.8168529314605
2023-10-15,198.35562736192514,42.029630271590506,115.97906574607335,280.73218897777696
2023-10-22,201.5330986165997,43.37939726699601,116.51104230223225,286.5551549309671
2023-10-29,173.8316550668377,43.82052590363504,87.94500251210852,259.71830762156685
2023-11-05,147.05666556801341,43.993196355878645,60.831585145692515,233.28174599033431
2023-11-12,120.24887234881807,44.07714024127312,33.85926493440164,206.6384797632345
2023-11-19,121.02606731072964,44.12814013158391,34.53650194808857,207.5156326733707
2023-11-26,112.7581272534297,44.16552373932981,26.195291365994507,199.3209631408649
2023-12-03,104.46561367996375,44.19680357497674,17.841470441218235,191.08975691870927
2023-12-10,96.15432079830858,44.22520659093097,9.474508671240443,182.8341329253767
2023-12-17,87.08612500967448,44.2521953521448,0.35341588263989365,173.81883413670906
2023-12-24,74.64477018036621,44.278289891277375,-12.139083303561392,161.4286236642938
2023-12-31,49.01710706418484,44.30285427936755,-37.814891735701764,135.84910586407145
2024-01-07,70.9558313329837,44.3217918488272,-15.91328442099855,157.82494708696595
2024-01-14,80.92014206256334,44.34724924784777,-5.998869276639283,167.83915340176597
2024-01-21,73.91800829939275,44.37264593216879,-13.050779626405799,160.8867962251913
2024-01-28,71.21992985438449,44.398004534430534,-15.798560018545373,158.23841972731435
2024-02-04,74.60122876682837,44.42333665395853,-12.466911148028416,161.66936868168517
2024-02-11,72.1337358770458,44.4486482222139,-14.984013799983742,159.25148555407532
2024-02-18,69.77577530444549,44.473942273263795,-17.391549801664965,156.94310041055593
2024-02-25,67.41785658326128,44.49922036367439,-19.799012669651887,154.63472583617445
2024-03-03,65.05999620680677,44.52448329749908,-22.206387486546618,152.32637990016016
2024-03-10,67.377676053421,44.54973149575286,-19.93819319918431,154.6935453060263
2024-03-17,62.60478662879251,44.57496518452586,-24.760539745004976,149.97011300258998
2024-03-24,69.88268422426215,44.60018449071252,-17.532071081376287,157.2974395299006
2024-03-31,83.61866898503357,44.62538949071524,-3.8454872128405384,171.08282518290767
2024-04-07,98.58411260508308,44.65058023521996,11.070583455235976,186.09764175493018
2024-04-14,110.55156497362971,44.675756761798795,22.988690738432283,198.11443920882715
2024-04-21,122.51901702709323,44.70091910132047,34.90682551266654,210.13120854151992
2024-04-28,134.486505059834,44.726067281211144,46.825024018544866,222.14798610112314
2024-05-05,125.00885374871419,44.75120132711308,37.29811088267148,212.71959661475688
2024-05-12,165.06085166453894,44.776321263728455,77.30087462743617,252.82082870164172
2024-05-19,168.23131545008488,44.80142711524874,80.42213184820113,256.0404990519686
2024-05-26,139.68514091483243,44.82651890557336,51.82677830760481,227.54350352206006
2024-06-02,185.4951218559209,44.85159665842115,97.58760775629841,273.40263595554336
2024-06-09,196.87923243913906,44.876660397387724,108.92259431382418,284.83587056445396
2024-06-16,208.26309829132106,44.90171014597544,120.25736356095246,296.26883302168966
2024-06-23,219.6468841385358,44.92674592761038,131.5920801778379,307.7016880992337
2024-06-30,211.18012920748177,44.95176776565404,123.07628334539132,299.2839750695722
2024-07-07,258.45353439977265,44.97677568341542,170.30067391954157,346.60639488000373
2024-07-14,275.04962857498265,45.001769704168936,186.8477807142458,363.2514764357195
2024-07-21,241.29251298620414,45.02674985118643,153.0417049369845,329.5433210354238
2024-07-28,278.75348904416455,45.051716147798395,190.45374795275814,367.05323013557097
2024-08-04,273.6158257084685,45.0766686175132,185.2671786750957,361.9644727418413
2024-08-11,268.47807921226826,45.101607284250235,180.08055329026843,356.8756051342681
2024-08-18,263.3402316241284,45.12653217279716,174.89385381825795,351.78660942999886
2024-08-25,259.6063302140782,45.151443309706735,171.111127477051,348.10153295110536
2024-09-01,261.1176289463144,45.17634072505613,172.5736281718943,349.66162972073454
2024-09-08,255.36605353463744,45.20122445589872,166.77328154396486,343.95882552531003
2024-09-15,277.52208273641884,45.22609455303678,188.88056625106364,366.163599221774
2024-09-22,238.1282546301098,45.25095109430927,149.43802021908027,326.81848904113934
2024-09-29,228.35961228227833,45.27579421066157,139.62068625793455,317.0985383066221
2024-10-06,209.45443347532583,46.14952767513215,119.00302132853233,299.90584562211933
2024-10-13,190.08898369928724,46.46838799260647,99.01261681414505,281.16535058442946
2024-10-20,201.03255245800653,46.61157678025171,109.67554070608973,292.3895642099233
2024-10-27,175.61561907848244,46.6921860023799,84.1006161543726,267.1306220025923
2024-11-03,145.2123272587775,46.74781522167068,53.58829306836964,236.83636144918535
2024-11-10,119.70600767050136,46.79249921632344,27.99439445988871,211.41762088111403
2024-11-17,122.80365608934746,46.83206912969647,31.014487273652293,214.59282490504262
2024-11-24,113.89125569052187,46.86915943717161,22.02939120799992,205.75312017304384
2024-12-01,104.97110545883238,46.905035196244214,13.0389257806101,196.90328513705467
2024-12-08,96.04155544195336,46.94033555825008,4.040188325558361,188.04292255834838
2024-12-15,88.80319367581733,46.97539043113896,-3.266879728922518,180.87326708055718
2024-12-22,75.24454087280701,47.010289177424774,-16.893932817758625,167.38301456337263
2024-12-29,48.13378863992799,47.04454887051791,-44.07183281522159,140.33941009507757
2025-01-05,72.42593409381477,47.075446417728216,-19.840245441077627,164.69211362870718
