year,week,et_value
2020,36,324.0
2020,37,359.0
2020,38,198.0
2020,39,208.33333333333334
2020,40,218.66666666666666
2020,41,229.0
2020,42,208.0
2020,43,173.0
2020,44,122.0
2020,45,120.0
2020,46,114.0
2020,47,113.66666666666667
2020,48,113.33333333333333
2020,49,113.0
2020,50,78.0
2020,51,76.0
2020,52,51.0
2021,1,71.0
2021,2,113.0
2021,3,80.0
2021,4,70.0
2021,5,54.0
2021,6,61.0
2021,7,62.0
2021,8,63.0
2021,9,64.0
2021,10,58.0
2021,11,74.0
2021,12,67.0
2021,13,61.0
2021,14,89.0
2021,15,91.33333333333333
2021,16,93.66666666666667
2021,17,96.0
2021,18,89.0
2021,19,99.0
2021,20,127.0
2021,21,101.0
2021,22,135.0
2021,23,174.66666666666666
2021,24,214.33333333333331
2021,25,254.0
2021,26,269.0
2021,27,329.0
2021,28,393.0
2021,29,237.0
2021,30,287.0
2021,31,253.0
2021,32,219.0
2021,33,185.0
2021,34,188.0
2021,35,229.0
2021,36,240.0
2021,37,292.0
2021,38,274.0
2021,39,258.3333333333333
2021,40,242.66666666666666
2021,41,227.0
2021,42,221.0
2021,43,151.0
2021,44,157.0
2021,45,106.0
2021,46,113.0
2021,47,102.66666666666667
2021,48,92.33333333333333
2021,49,82.0
2021,50,86.0
2021,51,70.0
2021,52,46.0
2022,1,62.0
2022,2,87.0
2022,3,74.0
2022,4,90.0
2022,5,95.0
2022,6,96.0
2022,7,89.0
2022,8,82.0
2022,9,75.0
2022,10,71.0
2022,11,42.0
2022,12,57.0
2022,13,71.0
2022,14,72.0
2022,15,90.0
2022,16,108.0
2022,17,126.0
2022,18,115.0
2022,19,145.0
2022,20,106.0
2022,21,111.0
2022,22,122.0
2022,23,135.33333333333334
2022,24,148.66666666666666
2022,25,162.0
2022,26,154.0
2022,27,223.0
2022,28,210.0
2022,29,283.0
2022,30,317.0
2022,31,329.3333333333333
2022,32,341.6666666666667
2022,33,354.0
2022,34,322.0
2022,35,257.0
2022,36,217.0
2022,37,271.0
2022,38,282.0
2022,39,230.0
2022,40,178.0
2022,41,126.0
2022,42,195.0
2022,43,188.0
2022,44,135.0
2022,45,119.0
2022,46,138.0
2022,47,125.0
2022,48,112.0
2022,49,99.0
2022,50,104.0
2022,51,83.0
2022,52,46.0
2023,1,86.0
2023,2,72.0
2023,3,68.0
2023,4,52.0
2023,5,82.0
2023,6,65.0
2023,7,67.66666666666667
2023,8,70.33333333333333
2023,9,73.0
2023,10,63.0
2023,11,74.0
2023,12,61.0
2023,13,123.0
2023,14,111.0
2023,15,126.33333333333333
2023,16,141.66666666666666
2023,17,157.0
2023,18,143.0
2023,19,238.0
2023,20,206.0
2023,21,162.0
2023,22,193.0
2023,23,229.66666666666666
2023,24,266.3333333333333
2023,25,303.0
2023,26,236.0
2023,27,244.0
2023,28,269.0
2023,29,183.0
2023,30,231.0
2023,31,233.66666666666666
2023,32,236.33333333333334
2023,33,239.0
2023,34,287.0
2023,35,293.0
2023,36,283.0
2023,37,274.0
2023,38,186.0
2023,39,221.33333333333334
2023,40,256.6666666666667
